source_key,doi,figure,point_kind,sample_id,composition_x,composition_sigma_x,growth_method,temperature_k,gap_ev,shift_from_2k_mev,marker_center_x_px,marker_center_y_px,x_axis_intercept_px,x_axis_slope_px_per_k,y_axis_intercept_px,y_axis_slope_px_per_ev,temperature_digitization_half_width_k,gap_digitization_half_width_mev,experimental_edge_uncertainty_upper_bound_mev,extraction_method,source_pdf_sha256,page_image_sha256
camassel1988_laurenti1990,10.1103/PhysRevB.38.3948;10.1063/1.345119,Camassel_Table_I,two_kelvin_anchor,MCT83,0.970,0.005,LPE,2.0,1.5405000,0.0,,,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,,,,primary_table_transcription,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,MCT83,0.970,0.005,LPE,55.421907661,1.537059169,-3.440830737,151.659090909,137.875000000,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,MCT83,0.970,0.005,LPE,100.267004745,1.530453550,-10.046449735,244.301587302,141.539682540,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,MCT83,0.970,0.005,LPE,149.940581970,1.512597433,-27.902567160,346.918918919,151.445945946,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,MCT83,0.970,0.005,LPE,200.655506253,1.494790360,-45.709639514,451.687500000,161.325000000,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,MCT83,0.970,0.005,LPE,250.602725230,1.483203395,-57.296604665,554.870129870,167.753246753,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,MCT83,0.970,0.005,LPE,300.611805836,1.471017285,-69.482715097,658.180555556,174.513888889,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
camassel1988_laurenti1990,10.1103/PhysRevB.38.3948;10.1063/1.345119,Camassel_Table_I,two_kelvin_anchor,bulk_reference,0.955,0.005,THM,2.0,1.5079000,0.0,,,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,,,,primary_table_transcription,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,bulk_reference,0.955,0.005,THM,45.249057601,1.505321046,-2.578953642,130.643678161,155.482758621,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,bulk_reference,0.955,0.005,THM,100.314643001,1.491771160,-16.128840141,244.400000000,163.000000000,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,bulk_reference,0.955,0.005,THM,150.126324282,1.475714610,-32.185390215,347.302631579,171.907894737,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,bulk_reference,0.955,0.005,THM,200.690601049,1.465478579,-42.421421123,451.760000000,177.586666667,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
laurenti1990,10.1063/1.345119,2,digitized_full_square,bulk_reference,0.955,0.005,THM,250.553883390,1.454704204,-53.195796173,554.769230769,183.564102564,37.166666666667,2.065833333333,990.608695650000,-554.782608700000,0.726099234,2.703761755,3.0,native_300dpi_page;3x3_binary_opening;compact_component_centroid;manual_series_assignment,1e6a8805c6b2dae538b52dff4da40e4b9f10c2e8e204438c9d5917aa819fecea,ab152405403cbc9f2aa3ec5cc59ca9035550576c501803a1e770ee50adf52edf
