composition_x,composition_label,temperature_k,thermal_numerator_reported_units,thermal_denominator_k,thermal_shift_mev
0.5,illustrated_positive_side,0.0,0.045,44.85,0.0
0.5,illustrated_positive_side,100.0,0.045,144.85,0.31066620642043447
0.5,illustrated_positive_side,200.0,0.045,244.85,0.7351439656932806
0.5,illustrated_positive_side,300.0,0.045,344.85,1.1744236624619382
0.5,illustrated_positive_side,500.0,0.045,544.85,2.0647884738918934
0.5047258866289238,printed_equation_root,0.0,0.0,45.16994252477814,0.0
0.5047258866289238,printed_equation_root,100.0,0.0,145.16994252477815,0.0
0.5047258866289238,printed_equation_root,200.0,0.0,245.16994252477815,0.0
0.5047258866289238,printed_equation_root,300.0,0.0,345.16994252477815,0.0
0.5047258866289238,printed_equation_root,500.0,0.0,545.1699425247781,0.0
0.505,reported_rounded_value,0.0,-0.002602,45.1885,0.0
0.505,reported_rounded_value,100.0,-0.002602,145.1885,-0.017921529597729798
0.505,reported_rounded_value,200.0,-0.002602,245.1885,-0.042448972933069755
0.505,reported_rounded_value,300.0,-0.002602,345.1885,-0.06784119401428478
0.505,reported_rounded_value,500.0,-0.002602,545.1885,-0.11931652997082628
0.55,illustrated_negative_side,0.0,-0.4177,48.235,0.0
0.55,illustrated_negative_side,100.0,-0.4177,148.235,-2.817823051236217
0.55,illustrated_negative_side,200.0,-0.4177,248.235,-6.730718875259341
0.55,illustrated_negative_side,300.0,-0.4177,348.235,-10.795296279811062
0.55,illustrated_negative_side,500.0,-0.4177,548.235,-19.04748875938241
