calibration_id,source_id,doi,figure_id,pdf_page_number,article_page,source_pdf_working_filename,source_pdf_sha256,renderer,renderer_version,render_dpi,page_image_width_px,page_image_height_px,page_image_sha256,figure_crop_left_px,figure_crop_top_px,figure_crop_right_px,figure_crop_bottom_px,figure_crop_sha256,plot_top_left_page_x,plot_top_left_page_y,plot_top_right_page_x,plot_top_right_page_y,plot_bottom_right_page_x,plot_bottom_right_page_y,plot_bottom_left_page_x,plot_bottom_left_page_y,rectified_width_px,rectified_height_px,rectified_plot_sha256,axis,source_tick_value,units,page_pixel_x,page_pixel_y,rectified_pixel_x,rectified_pixel_y,calibration_role,visual_half_width_px,axis_fit_slope_per_pixel,axis_fit_intercept,axis_fit_max_abs_residual,axis_fit_rmse,notes
SCOTT69_F2_CAL_01,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,0,K,2792.448,2256.045,1.912,1597.282,axis_origin_border_intersection,4,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_02,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,40,K,2979.628,2244.899,198.562,1585.917,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_03,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,80,K,3173.707,2245.387,402.429,1586.634,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_04,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,120,K,3362.745,2246.639,601.000,1588.138,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_05,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,160,K,3552.677,2245.421,800.517,1587.081,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_06,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,200,K,3744.067,2244.581,1001.565,1586.416,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_07,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,240,K,3933.454,2246.449,1200.505,1588.560,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_08,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,temperature,280,K,4121.931,2243.652,1398.500,1585.862,labeled_major_tick_center,3,0.200203995237,-0.267693527909,0.514745386,0.254841373,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_09,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,fixed_alpha_edge_energy,0,eV,2792.448,2256.045,1.912,1597.282,axis_origin_border_intersection,4,-0.000500509426406,0.799660915146,0.00162906683,0.000845608191,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_10,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,fixed_alpha_edge_energy,0.1,eV,2805.206,2065.441,15.837,1399.500,labeled_major_tick_center,3,-0.000500509426406,0.799660915146,0.00162906683,0.000845608191,linear least-squares fit to labeled source ticks; Equation (3) not used
SCOTT69_F2_CAL_11,SCOTT1969,10.1063/1.1657147,Figure_2,4,4079,scott1969(1).pdf,7b2e5790745897ecd75bd22134e5d9293397820c3b7851eb5a9e648a5c441324,pypdfium2,5.8.0,600,4900,6580,1fbdea6692eec2f411b8dd0b01cddb02d46e426066cb140a87fc6ee4af63d694,2750,450,4700,2600,a4e9354ad30692b77b9a8e44cba9aed5b65aa2e6f1bdb7f1824dac5bddaef7a8,2786.586,715.297,4215.212,713.838,4217.622,2256.210,2790.632,2257.702,1500,1600,da7b37b73fce3fcafc3231b80ebf17459d20754870e58e9119d0825649d1730e,fixed_alpha_edge_energy,0.2,eV,2801.665,1872.583,12.648,1199.419,labeled_major_tick_center,3,-0.000500509426406,0.799660915146,0.00162906683,0.000845608191,linear least-squares fit to labeled source ticks; Equation (3) not used
