composition_x,composition_sigma_x,gap_mev,gap_sigma_mev,measurement_class,reference_group,temperature_k_or_range,present_work,sample_number,composition_independent_for_gap_law,source_pdf_sha256
0.000,, -299.7,0.5,interband_magnetoabsorption,26,8,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.010,, -285,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.025,, -261,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.050,, -207,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.105,, -110,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.115,, -90,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.150,, -30,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.185,,35,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.215,,86,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.250,,161,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.280,,208,,interband_magnetoabsorption,"15,16",4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.193,,56,,electron_spin_resonance,18,4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.203,,64,3,cyclotron_combined_and_cyclotron_phonon_resonance,19,4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.234,,119,,four_photon_mixing_esr,20,4,false,,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.239,,122,1,two_photon_magnetoabsorption,present_work,2-10,true,1,false,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.259,0.0015,158.5,1,two_photon_magnetoabsorption,present_work,2-10,true,3,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.277,0.0010,195,1,two_photon_magnetoabsorption,present_work,2-10,true,4,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
0.300,0.0035,224,2,two_photon_magnetoabsorption,present_work,2-10,true,5,true,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
