range_id,source_id,sample_id,temperature_k,alpha,magnetic_field_min_t,magnetic_field_max_t,fit_status,direct_observable,source_location,notes
DN77_R1,DORNHAUS1977_HSC_R13,DN77_S1,4.2,1.45,2,8,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R2,DORNHAUS1977_HSC_R13,DN77_S2,4.2,1.8,5,8,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R3,DORNHAUS1977_HSC_R13,DN77_S3,4.2,1.6,2,8,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R4,DORNHAUS1977_HSC_R13,DN77_S4,4.2,1.7,5,8,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R5A,DORNHAUS1977_HSC_R13,DN77_S5,4.2,2.0,4,15,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R5B,DORNHAUS1977_HSC_R13,DN77_S5,1.5,2.3,3,8,low_temperature_piecewise_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R5C,DORNHAUS1977_HSC_R13,DN77_S5,1.5,1.6,8,10,low_temperature_piecewise_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R6,DORNHAUS1977_HSC_R13,DN77_S6,4.2,1.4,3,15,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R7,DORNHAUS1977_HSC_R13,DN77_S7,4.2,1.6,2,8,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R8A,DORNHAUS1977_HSC_R13,DN77_S8,4.2,1.6,2,15,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R8B,DORNHAUS1977_HSC_R13,DN77_S8,1.43,2.1,1,4,low_temperature_piecewise_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R8C,DORNHAUS1977_HSC_R13,DN77_S8,1.43,1.1,6,10,low_temperature_piecewise_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
DN77_R9,DORNHAUS1977_HSC_R13,DN77_S9,4.2,1.0,1,15,single_approximate_log_log_fit,transverse_resistivity_power_law_exponent,page 43 Table 1,No exact power law claimed; straight-line approximation over printed field interval
