composition_x,mass_0k_over_m0,mass_100k_over_m0,mass_200k_over_m0,mass_300k_over_m0,mass_400k_over_m0,mass_500k_over_m0,source_kind,source_table,notes
1.000,0.090,0.089,0.088,0.086,0.085,0.083,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.950,0.085,0.084,0.083,0.081,0.080,0.078,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.900,0.080,0.079,0.078,0.076,0.075,0.074,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.850,0.074,0.074,0.073,0.071,0.070,0.069,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.800,0.069,0.069,0.068,0.067,0.065,0.064,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.750,0.064,0.064,0.063,0.062,0.061,0.060,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.700,0.059,0.059,0.058,0.057,0.056,0.055,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.650,0.054,0.053,0.053,0.052,0.052,0.051,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.600,0.049,0.048,0.048,0.048,0.047,0.047,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.550,0.043,0.043,0.043,0.043,0.043,0.042,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.500,0.038,0.038,0.038,0.038,0.038,0.038,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.450,0.033,0.033,0.033,0.034,0.034,0.034,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.400,0.027,0.028,0.028,0.029,0.030,0.030,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.350,0.022,0.023,0.024,0.024,0.025,0.026,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.300,0.016,0.017,0.019,0.020,0.021,0.022,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.250,0.010,0.012,0.014,0.015,0.017,0.019,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.200,0.004,0.006,0.008,0.011,0.013,0.015,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.195,0.004,0.005,0.008,0.010,0.012,0.015,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.190,0.003,0.005,0.007,0.010,0.012,0.014,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.185,0.002,0.004,0.007,0.009,0.011,0.014,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.180,0.002,0.004,0.006,0.009,0.011,0.013,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.175,0.001,0.003,0.006,0.008,0.011,0.013,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.170,0.000,0.002,0.005,0.008,0.010,0.013,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
0.165,0.000,0.002,0.005,0.007,0.010,0.012,model_derived_kp_effective_mass,Laurenti_1990_Table_V,Values are propagated from the published gap law and a five-band k·p mass model; they are not independent effective-mass measurements.
