energy_ev,absorption_cm1,energy_sigma_ev,log10_absorption_sigma,source_pixel_x,source_pixel_y_center,source_pixel_y_min,source_pixel_y_max
0.170175439,109.465718,0.000526316,0.015923567,110,321.500,320,323
0.171228070,112.037409,0.000526316,0.025477707,113,320.500,312,329
0.172280702,121.895384,0.000526316,0.025477707,116,315.500,308,321
0.173333333,140.118931,0.000526316,0.025477707,119,306.000,299,311
0.174385965,156.411080,0.000526316,0.025477707,122,298.500,295,302
0.175438596,175.882621,0.000526316,0.025477707,125,290.500,287,294
0.176491228,200.700184,0.000526316,0.025477707,128,281.500,278,285
0.177543860,225.685255,0.000526316,0.025477707,131,273.500,270,277
0.178596491,251.926519,0.000526316,0.025477707,134,266.000,262,270
0.179649123,281.218952,0.000526316,0.025477707,137,258.500,254,265
0.180701754,311.623767,0.000526316,0.025477707,140,251.500,247,257
0.181754386,340.288391,0.000526316,0.025477707,143,245.500,239,253
0.182807018,388.304099,0.000526316,0.025477707,146,236.500,232,245
0.183859649,427.142956,0.000526316,0.025477707,149,230.000,226,236
0.184912281,473.324773,0.000526316,0.025477707,152,223.000,219,232
0.185964912,516.863419,0.000526316,0.025477707,155,217.000,212,225
0.187017544,552.126023,0.000526316,0.025477707,158,212.500,206,220
0.188070175,625.429474,0.000526316,0.025477707,161,204.000,200,212
0.189122807,673.016137,0.000526316,0.025477707,164,199.000,195,204
0.190175439,724.223498,0.000526316,0.025477707,167,194.000,189,200
0.191228070,796.661602,0.000526316,0.025477707,170,187.500,183,192
0.192280702,863.586277,0.000526316,0.025477707,173,182.000,178,187
0.193333333,943.023017,0.000526316,0.025477707,176,176.000,173,179
0.194385965,1022.242988,0.000526316,0.022292994,179,170.500,168,173
0.195438596,1091.984718,0.000526316,0.019108280,182,166.000,164,168
0.196491228,1166.484523,0.000526316,0.025477707,185,160.000,157,163
0.197543860,1166.484523,0.000526316,0.025477707,188,163.000,153,169
0.198596491,1255.238105,0.000526316,0.025477707,191,156.500,148,165
0.199649123,1432.355947,0.000526316,0.025477707,194,147.500,144,151
0.200701754,1474.992489,0.000526316,0.015923567,197,145.500,144,147
0.201754386,1575.622701,0.000526316,0.025477707,200,141.000,138,144
0.202807018,1646.495354,0.000526316,0.019108280,203,138.000,136,140
0.203859649,1745.975787,0.000526316,0.025477707,206,134.000,131,137
0.204912281,1811.180707,0.000526316,0.022292994,209,131.500,129,134
0.205964912,1906.578877,0.000526316,0.022292994,212,128.000,125,130
0.207017544,1992.338179,0.000526316,0.025477707,215,125.000,122,128
0.208070175,2051.643558,0.000526316,0.019108280,218,123.000,121,125
0.209122807,2159.707341,0.000526316,0.022292994,221,119.500,117,122
0.210175439,2207.745685,0.000526316,0.019108280,224,118.000,116,120
0.211228070,2256.852545,0.000526316,0.015923567,227,116.500,115,118
0.212280702,2375.725057,0.000526316,0.019108280,230,113.000,111,115
0.213333333,2428.568281,0.000526316,0.015923567,233,111.500,110,113
0.214385965,2464.448490,0.000526316,0.015923567,236,110.500,109,112
0.215438596,2556.485372,0.000526316,0.019108280,239,108.000,106,110
0.216491228,2632.583564,0.000526316,0.012738854,242,106.000,105,107
0.217543860,2691.140088,0.000526316,0.015923567,245,104.500,103,106
0.218596491,2750.999084,0.000526316,0.019108280,248,103.000,101,105
0.219649123,2812.189523,0.000526316,0.015923567,251,101.500,100,103
0.220701754,2895.899190,0.000526316,0.015923567,254,99.500,98,101
0.221754386,2917.213085,0.000526316,0.019108280,257,99.000,97,101
0.222807018,2982.100620,0.000526316,0.015923567,260,97.500,96,99
0.223859649,3048.431447,0.000526316,0.012738854,263,96.000,95,97
0.224912281,3116.237671,0.000526316,0.009554140,266,94.500,94,95
0.225964912,3162.277660,0.000526316,0.015923567,269,93.500,92,95
0.227017544,3208.997855,0.000526316,0.015923567,272,92.500,91,94
0.228070175,3280.375555,0.000526316,0.012738854,275,91.000,90,92
0.229122807,3328.840554,0.000526316,0.012738854,278,90.000,89,91
0.230175439,3353.340908,0.000526316,0.015923567,281,89.500,88,91
0.231228070,3427.929229,0.000526316,0.012738854,284,88.000,87,89
0.232280702,3478.574219,0.000526316,0.012738854,287,87.000,86,88
0.233333333,3504.176617,0.000526316,0.015923567,290,86.500,85,88
0.234385965,3555.948103,0.000526316,0.009554140,293,85.500,85,86
0.235438596,3608.484472,0.000526316,0.009554140,296,84.500,84,85
0.236491228,3661.797025,0.000526316,0.009554140,299,83.500,83,84
0.237543860,3688.747948,0.000526316,0.012738854,302,83.000,82,84
0.238596491,3743.246332,0.000526316,0.012738854,305,82.000,81,83
0.239649123,3798.549887,0.000526316,0.012738854,308,81.000,80,82
0.240701754,3826.507314,0.000526316,0.009554140,311,80.500,80,81
0.241754386,3854.670509,0.000526316,0.012738854,314,80.000,79,81
0.242807018,3911.620269,0.000526316,0.012738854,317,79.000,78,80
0.243859649,3969.411418,0.000526316,0.012738854,320,78.000,77,79
0.244912281,3998.626391,0.000526316,0.009554140,323,77.500,77,78
0.245964912,4028.056387,0.000526316,0.012738854,326,77.000,76,78
0.247017544,4087.567789,0.000526316,0.012738854,329,76.000,75,77
0.248070175,4117.652396,0.000526316,0.009554140,332,75.500,75,76
0.249122807,4147.958426,0.000526316,0.012738854,335,75.000,74,76
0.250175439,4209.241288,0.000526316,0.012738854,338,74.000,73,75
0.251228070,4271.429556,0.000526316,0.012738854,341,73.000,72,74
0.252280702,4302.867390,0.000526316,0.015923567,344,72.500,71,74
0.253333333,4334.536608,0.000526316,0.012738854,347,72.000,71,73
0.254385965,4398.576017,0.000526316,0.012738854,350,71.000,70,72
0.255438596,4430.949652,0.000526316,0.015923567,353,70.500,69,72
0.256491228,4447.225712,0.000526316,0.009554140,356,70.500,70,71
0.257543860,4496.413489,0.000526316,0.009554140,359,69.500,69,70
0.258596491,4529.507211,0.000526316,0.012738854,362,69.000,68,70
0.259649123,4562.844504,0.000526316,0.009554140,365,68.500,68,69
0.260701754,4596.427160,0.000526316,0.012738854,368,68.000,67,69
0.261754386,4664.335798,0.000526316,0.012738854,371,67.000,66,68
0.262807018,4698.665433,0.000526316,0.009554140,374,66.500,66,67
0.263859649,4733.247734,0.000526316,0.012738854,377,66.000,65,67
0.264912281,4733.247734,0.000526316,0.012738854,380,66.000,65,67
0.265964912,4803.177790,0.000526316,0.012738854,383,65.000,64,66
0.267017544,4814.932837,0.000526316,0.012738854,386,65.000,64,66
0.268070175,4910.014815,0.000526316,0.009554140,389,63.500,63,64
0.269122807,4910.014815,0.000526316,0.009554140,392,63.500,63,64
0.270175439,4946.152654,0.000526316,0.012738854,395,63.000,62,64
0.271228070,5019.228215,0.000526316,0.012738854,398,62.000,61,63
0.272280702,5019.228215,0.000526316,0.012738854,401,62.000,61,63
0.273333333,5056.169867,0.000526316,0.015923567,404,61.500,60,63
0.274385965,5112.092766,0.000526316,0.009554140,407,60.500,60,61
0.275438596,5130.870847,0.000526316,0.015923567,410,60.500,59,62
0.276491228,5130.870847,0.000526316,0.015923567,413,60.500,59,62
0.277543860,5221.970270,0.000526316,0.012738854,416,59.000,58,60
0.278596491,5221.970270,0.000526316,0.015923567,419,59.500,58,61
0.279649123,5283.600058,0.000526316,0.015923567,422,58.500,57,60
0.280701754,5332.253992,0.000526316,0.015923567,425,57.500,56,59
0.281754386,5332.253992,0.000526316,0.019108280,428,58.000,56,60
0.282807018,5440.875518,0.000526316,0.015923567,431,56.500,55,58
0.283859649,5440.875518,0.000526316,0.015923567,434,56.500,55,58
0.284912281,5480.920506,0.000526316,0.019108280,437,56.000,54,58
0.285964912,5521.260225,0.000526316,0.015923567,440,55.500,54,57
0.287017544,5561.896846,0.000526316,0.019108280,443,55.000,53,57
0.288070175,5561.896846,0.000526316,0.019108280,446,55.000,53,57
0.289122807,5644.069549,0.000526316,0.019108280,449,54.000,52,56
0.290175439,5644.069549,0.000526316,0.019108280,452,54.000,52,56
0.291228070,5727.456289,0.000526316,0.022292994,455,53.000,51,56
0.292280702,5727.456289,0.000526316,0.019108280,458,53.000,51,55
0.293333333,5769.610519,0.000526316,0.022292994,461,52.500,50,55
0.294385965,5812.075004,0.000526316,0.019108280,464,52.000,50,54
0.295438596,5869.180888,0.000526316,0.022292994,467,51.000,49,54
0.296491228,5869.180888,0.000526316,0.022292994,470,51.500,49,54
0.297543860,5985.081432,0.000526316,0.022292994,473,50.000,48,53
0.298596491,6118.207525,0.000526316,0.009554140,476,48.500,48,49
0.299649123,6140.681333,0.000526316,0.012738854,479,48.000,47,49
