energy_ev,absorption_cm1,energy_sigma_ev,log10_absorption_sigma,source_pixel_x,source_pixel_y_center,source_pixel_y_min,source_pixel_y_max
0.280000000,100.000000,0.000526316,0.006369427,132,329.000,329,329
0.281052632,110.002175,0.000526316,0.025477707,135,322.500,314,328
0.282105263,126.447669,0.000526316,0.025477707,138,313.000,306,318
0.283157895,146.421582,0.000526316,0.025477707,141,303.000,297,309
0.284210526,165.861360,0.000526316,0.025477707,144,294.500,289,300
0.285263158,185.146678,0.000526316,0.025477707,147,287.000,283,291
0.286315789,211.271426,0.000526316,0.025477707,150,278.000,274,282
0.287368421,235.836741,0.000526316,0.025477707,153,270.500,266,275
0.288421053,265.195945,0.000526316,0.025477707,156,262.500,258,267
0.289473684,300.404896,0.000526316,0.025477707,159,254.000,250,258
0.290526316,330.451921,0.000526316,0.025477707,162,247.500,242,254
0.291578947,371.589723,0.000526316,0.025477707,165,239.500,235,246
0.292631579,417.848751,0.000526316,0.025477707,168,231.500,227,238
0.293684211,452.950721,0.000526316,0.025477707,171,226.000,220,234
0.294736842,509.338341,0.000526316,0.025477707,174,218.000,213,226
0.295789474,568.561005,0.000526316,0.025477707,177,210.500,206,218
0.296842105,616.323769,0.000526316,0.025477707,180,205.000,200,213
0.297894737,677.969554,0.000526316,0.025477707,183,198.500,194,206
0.298947368,745.781258,0.000526316,0.025477707,186,192.000,188,197
0.300000000,808.431658,0.000526316,0.025477707,189,186.500,181,193
0.301052632,889.292411,0.000526316,0.025477707,192,180.000,176,185
0.302105263,978.240997,0.000526316,0.025477707,195,173.500,170,177
0.303157895,1084.006402,0.000526316,0.022292994,198,166.500,164,169
0.304210526,1157.961893,0.000526316,0.025477707,201,162.000,159,165
0.305263158,1255.238105,0.000526316,0.022292994,204,156.500,154,159
0.306315789,1350.744626,0.000526316,0.025477707,207,151.500,147,156
0.307368421,1474.992489,0.000526316,0.025477707,210,145.500,142,149
0.308421053,1564.110804,0.000526316,0.025477707,213,141.500,138,145
0.309473684,1695.506125,0.000526316,0.025477707,216,136.000,130,140
0.310526316,1771.771222,0.000526316,0.025477707,219,133.000,130,136
0.311578947,1925.311751,0.000526316,0.025477707,222,127.000,121,132
0.312631579,1992.338179,0.000526316,0.025477707,225,125.000,121,128
0.313684211,2081.954997,0.000526316,0.025477707,228,122.000,118,125
0.314736842,2159.707341,0.000526316,0.015923567,231,119.500,118,121
0.315789474,2307.051689,0.000526316,0.019108280,234,115.000,113,117
0.316842105,2428.568281,0.000526316,0.022292994,237,111.500,109,114
0.317894737,2537.807045,0.000526316,0.022292994,240,108.500,106,111
0.318947368,2613.349245,0.000526316,0.015923567,243,106.500,105,108
0.320000000,2730.899591,0.000526316,0.015923567,246,103.500,102,105
0.321052632,2832.887313,0.000526316,0.019108280,249,101.000,99,103
0.322105263,2938.683850,0.000526316,0.015923567,252,98.500,97,100
