specimen_id,temperature_block,target_temperature_k,design_composition_code,target_composition_x,design_carrier_proxy_code,design_vacancy_proxy_code,composition_measured_x,composition_sigma_x,temperature_measured_k,temperature_sigma_k,magneto_optical_gap_ev,magneto_optical_gap_sigma_ev,absorption_gap_ev,absorption_gap_sigma_ev,absorption_extraction_method,carrier_type,carrier_density_cm3,carrier_density_sigma_cm3,mobility_cm2_v_s,vacancy_proxy_name,vacancy_proxy_value,vacancy_proxy_sigma,raw_absorption_uri,processing_history,notes
factorial_1,low_temperature,6,-1,0.24,-1,-1,,,,,,,,,,,,,,,,,,,
factorial_1,room_temperature,300,-1,0.24,-1,-1,,,,,,,,,,,,,,,,,,,
factorial_2,low_temperature,6,-1,0.24,-1,1,,,,,,,,,,,,,,,,,,,
factorial_2,room_temperature,300,-1,0.24,-1,1,,,,,,,,,,,,,,,,,,,
factorial_3,low_temperature,6,-1,0.24,1,-1,,,,,,,,,,,,,,,,,,,
factorial_3,room_temperature,300,-1,0.24,1,-1,,,,,,,,,,,,,,,,,,,
factorial_4,low_temperature,6,-1,0.24,1,1,,,,,,,,,,,,,,,,,,,
factorial_4,room_temperature,300,-1,0.24,1,1,,,,,,,,,,,,,,,,,,,
factorial_5,low_temperature,6,1,0.30,-1,-1,,,,,,,,,,,,,,,,,,,
factorial_5,room_temperature,300,1,0.30,-1,-1,,,,,,,,,,,,,,,,,,,
factorial_6,low_temperature,6,1,0.30,-1,1,,,,,,,,,,,,,,,,,,,
factorial_6,room_temperature,300,1,0.30,-1,1,,,,,,,,,,,,,,,,,,,
factorial_7,low_temperature,6,1,0.30,1,-1,,,,,,,,,,,,,,,,,,,
factorial_7,room_temperature,300,1,0.30,1,-1,,,,,,,,,,,,,,,,,,,
factorial_8,low_temperature,6,1,0.30,1,1,,,,,,,,,,,,,,,,,,,
factorial_8,room_temperature,300,1,0.30,1,1,,,,,,,,,,,,,,,,,,,
