temperature_k,gap_mev,gamma_reported,c_ev,effective_mass_ratio_reported,effective_mass_ratio_reproduced,mass_closure_fractional_error,hyperbolic_velocity_m_per_s,hyperbolic_velocity_relative_to_1k,gamma_velocity_relative_to_1k,velocity_convention_fractional_difference,reduced_velocity_m_per_s,reduced_velocity_relative_to_1k,gap_only_fixed_velocity_mass_ratio,c_only_fixed_velocity_mass_ratio,gap_plus_hyperbolic_velocity_mass_ratio,complete_hyperbolic_mass_ratio,c_over_half_gap
1.0,113.6,47.7656,0.0588,1.0,1.0,0.0,1136984.0403090713,1.0,1.0,0.0,1117480.2940760234,1.0,1.0,1.0,1.0,1.0,1.0352112676056338
10.0,112.67,47.7553,0.0588,1.0005,1.0002156828666138,-0.00028417504586319975,1136699.9008468539,0.9997500937109546,0.9998921760082203,-0.00014209761879824256,1112618.5807735198,0.995649396836547,0.9918133802816903,1.0,0.9923092869718312,1.0002156828666138,1.0437561018904766
20.0,112.56,47.7169,0.0592,1.0072,1.007830266727758,0.0006257612467812645,1136759.7827967678,0.9998027610728445,0.9994900888976401,0.00031283169155704726,1108370.3294075576,0.9918477625809069,0.9908450704225353,1.0068027210884354,0.9912360525314049,1.007830266727758,1.0518834399431414
30.0,114.44,47.6421,0.0598,1.0199,1.019643133616159,-0.00025185447969500174,1135370.2275191161,0.9985806196633011,0.9987063919222291,-0.00012593516968073537,1110608.099522669,0.9938502767433259,1.0073943661971831,1.0170068027210883,1.010260217862358,1.019643133616159,1.0450891296749387
40.0,117.15,47.5582,0.0607,1.0361,1.0368148133971302,0.0006899077281441457,1134904.2287815749,0.9981707645369138,0.9978266197355673,0.00034489438800267,1114861.754923326,0.9976567469094724,1.03125,1.032312925170068,1.0350331754530477,1.0368148133971302,1.0362782757148954
50.0,120.42,47.4461,0.0615,1.0532,1.052961536719497,-0.00022641785083821198,1133046.773007426,0.9965370953662858,0.9966499314214268,-0.00011321533427499642,1121100.6230973161,1.00323972515711,1.0600352112676057,1.0459183673469388,1.067415124699416,1.052961536719497,1.0214250124564026
60.0,123.96,47.331,0.0624,1.0714,1.0709688045846466,-0.00040245978659070314,1131571.965591152,0.9952399730110124,0.995440305515946,-0.00020125014410554698,1127757.3610638783,1.0091966426990575,1.0911971830985916,1.0612244897959184,1.10166008531961,1.0709688045846466,1.0067763794772506
70.0,127.65,47.2091,0.0634,1.0904,1.0909414631045782,0.0004965729132226926,1130621.951165467,0.9944044164930628,0.9941576112578463,0.00024825564117958443,1134405.166770499,1.0151455670262801,1.123679577464789,1.0782312925170068,1.1363612054027639,1.0909414631045782,0.9933411672542106
80.0,131.44,47.0821,0.0643,1.1095,1.1094125102384838,-7.885512529626215e-05,1128775.407012198,0.9927803443092815,0.9928194895336191,-3.9428339945191127e-05,1141171.2707454136,1.0212003529681737,1.1570422535211269,1.0935374149659864,1.173931831424003,1.1094125102384838,0.9783931832014606
90.0,135.28,46.9418,0.0653,1.1288,1.1300335923282392,0.0010928351596732888,1127752.4930144623,0.9918806711727461,0.9913391339547014,0.0005462683752677222,1147780.9295704004,1.0271151407814585,1.1908450704225353,1.1105442176870748,1.210420885619999,1.1300335923282392,0.9654050857480779
