temperature_k,gap_mev,gamma_reported,c_ev,effective_mass_ratio_to_m0,composition_x,base_effective_mass_over_free_electron,zero_point_gap_correction_mev,source_table,notes
1,113.60,47.7656,0.0588,1.0000,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output; gamma units/normalization should be checked against the original typeset header before external reuse"
10,112.67,47.7553,0.0588,1.0005,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
20,112.56,47.7169,0.0592,1.0072,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
30,114.44,47.6421,0.0598,1.0199,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
40,117.15,47.5582,0.0607,1.0361,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
50,120.42,47.4461,0.0615,1.0532,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
60,123.96,47.3310,0.0624,1.0714,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
70,127.65,47.2091,0.0634,1.0904,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
80,131.44,47.0821,0.0643,1.1095,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
90,135.28,46.9418,0.0653,1.1288,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
100,139.17,46.7964,0.0662,1.1483,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
150,158.85,46.1544,0.0712,1.2529,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
200,178.73,45.5930,0.0767,1.3669,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
250,198.68,45.2441,0.0832,1.4938,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
300,218.66,45.1167,0.0908,1.6342,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
350,238.65,45.3460,0.1000,1.7913,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
400,258.66,46.0193,0.1115,1.9672,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
450,278.67,47.3751,0.1263,2.1657,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
500,298.69,49.8338,0.1468,2.3919,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
550,318.71,54.0581,0.1763,2.6491,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
600,338.74,61.7125,0.2238,2.9445,0.22,0.008,13.6,Table_II,"Calculated HPTB finite-temperature band-structure output"
