composition_x,temperature_k,gap_ev,mass_ratio_m0
0.50,0,0.619,0.038
0.50,100,0.619,0.038
0.50,200,0.619,0.038
0.50,300,0.620,0.038
0.50,400,0.620,0.038
0.50,500,0.621,0.038
0.55,0,0.714,0.043
0.55,100,0.711,0.043
0.55,200,0.708,0.043
0.55,300,0.703,0.043
0.55,400,0.699,0.043
0.55,500,0.695,0.042
0.60,0,0.811,0.049
0.60,100,0.805,0.048
0.60,200,0.797,0.048
0.60,300,0.789,0.048
0.60,400,0.781,0.047
0.60,500,0.772,0.047
0.65,0,0.908,0.054
0.65,100,0.900,0.053
0.65,200,0.888,0.053
0.65,300,0.876,0.052
0.65,400,0.864,0.052
0.65,500,0.851,0.051
0.70,0,1.006,0.059
0.70,100,0.995,0.059
0.70,200,0.980,0.058
0.70,300,0.965,0.057
0.70,400,0.949,0.056
0.70,500,0.933,0.055
0.75,0,1.104,0.064
0.75,100,1.092,0.064
0.75,200,1.074,0.063
0.75,300,1.055,0.062
0.75,400,1.036,0.061
0.75,500,1.016,0.060
0.80,0,1.203,0.069
0.80,100,1.189,0.069
0.80,200,1.169,0.068
0.80,300,1.147,0.067
0.80,400,1.124,0.065
0.80,500,1.102,0.064
0.85,0,1.303,0.074
0.85,100,1.288,0.074
0.85,200,1.265,0.073
0.85,300,1.240,0.071
0.85,400,1.215,0.070
0.85,500,1.190,0.069
0.90,0,1.403,0.080
0.90,100,1.387,0.079
0.90,200,1.362,0.078
0.90,300,1.335,0.076
0.90,400,1.307,0.075
0.90,500,1.280,0.074
0.95,0,1.504,0.085
0.95,100,1.487,0.084
0.95,200,1.460,0.083
0.95,300,1.431,0.081
0.95,400,1.402,0.080
0.95,500,1.372,0.078
1.00,0,1.606,0.090
1.00,100,1.588,0.089
1.00,200,1.559,0.088
1.00,300,1.529,0.086
1.00,400,1.497,0.085
1.00,500,1.466,0.083
