source_id,title,authors,year,venue,doi_or_report_id,source_type,verification_status,verified_location,physical_model,material,geometry,dimensionality,statistics,transport_model,electrostatics,recombination_model,contact_boundary_conditions,terminal_boundary_condition,noise_primitives,covariance_basis,psd_convention,main_assumptions,main_result,limitations,relevance_to_r06,novelty_implication,evidence_class,notes
gomila_reggiani_2002,Size effects on generation-recombination noise,G. Gomila; L. Reggiani,2002,"Applied Physics Letters 81, 4380-4382",10.1063/1.1526915; arXiv:cond-mat/0210365,original article; author preprint,verified_full_text,Eqs. 1-3; terminal current; analytical spectra and limits,finite two-level resistor GR noise,uniform n-type semiconductor,ohmic two-terminal slab,1D,nondegenerate,electron drift-diffusion,Poisson; Debye screening,single trap level,ideal ohmic Dirichlet density fluctuations,fixed-voltage current noise; conduction plus displacement current,bulk GR Langevin source,generation plus recombination event activity,source convention translated in project audit,unipolar; uniform coefficients; analytical low-frequency focus,"finite size, diffusion, and Coulomb correlation modify GR current noise",not bipolar; ideal contacts; not HgCdTe-specific,mandatory finite-size Poisson benchmark,finite-size Poisson-plus-diffusion GR noise is established,source-established,highest-priority analytical benchmark
zocchi_2006,Current and voltage noise spectrum due to generation and recombination fluctuations in semiconductors,F. E. Zocchi,2006,"Physical Review B 73, 035203",10.1103/PhysRevB.73.035203,original article,verified_full_text,Eqs. 1-17; current-noise Sec. III; voltage-noise Sec. IV; asymptotes and conclusion,finite unipolar electron-trap GR noise,uniform n-doped semiconductor,finite sample with ideal metallic contacts,1D,small fluctuations; Poisson generation and recombination events,electron drift-diffusion with dynamic ionized traps,linearized Poisson; dielectric relaxation,one generation-recombination trap channel represented by independent Poisson generation and recombination processes,fixed-voltage absorbing electron boundaries; open-circuit zero-current boundaries,separate fixed-voltage current-noise and zero-field open-circuit voltage-noise ensembles,independent generation and recombination Poisson processes,each process PSD 2g0; difference source PSD 4g0; independent event positions,ordinary frequency f with transfer functions at s=2 pi i f; one-sided engineering normalization,uniform coefficients; unipolar; ideal contacts; linearized fluctuations; nonlinear Ei*n term neglected,full-frequency finite-length current and voltage spectra; long-sample Lorentzian; finite diffusion/screening spectra; high-frequency voltage PSD proportional to f^-7/2,no holes; no optical profile; no finite stochastic contacts; no single-particle diffusion autocorrelation,closest general-theory benchmark for finite drift-diffusion-Poisson-trap terminal spectra,broad coupled finite-device full-frequency premise is occupied,source-established,source note: source_notes/zocchi_2006.md
park_2022,Generation-recombination noise in uniformly doped semiconductors with contacts of finite surface recombination velocities,C. H. Park,2022,"Journal of Applied Physics 132, 214501",10.1063/5.0111954,original article,unavailable_abstract_verified,publisher abstract only; full paper unavailable,majority-carrier GR noise with finite contact velocity,uniformly doped semiconductor,finite two-contact sample,1D,,drift-diffusion,,trap GR,finite surface recombination velocity,voltage-noise spectrum,bulk GR; stochastic contact primitive not verifiable,not verifiable,not verifiable,,field and contact velocity modify finite-sample GR spectrum,full equations unavailable; contact detailed balance cannot be assessed,disclosed unresolved overlap risk only,not a blocking dependency after independent full interface-noise audits,source-established_abstract,triangulated using Gomila-Rubi 1998 and Gomila-Bulashenko-Rubi 1998
bonani_ghione_1999,Generation-recombination noise modelling in semiconductor devices through population or approximate equivalent current density fluctuations,F. Bonani; G. Ghione,1999,"Solid-State Electronics 43, 285-295",10.1016/S0038-1101(98)00253-6,original article,verified_publisher_article_text_equations_partial,Abstract; Introduction; Secs. 2-4; conclusion; coefficient transcription pending,fundamental population versus equivalent current sources,generic p- or n-type semiconductor,finite sample with ohmic contacts,bipolar multidimensional framework,,bipolar drift-diffusion; impedance field,,direct and SRH with trap occupation,ohmic; boundary effects tested,open-circuit voltage noise,"electron, hole, and trap population sources",forward-plus-reverse transition activity with electron-hole-trap coupling,frequency-domain voltage PSD; exact normalization pending,finite uniformly doped sample; bipolar drift-diffusion; direct or SRH transitions,equivalent-current and monopolar sources fail when boundaries or minority carriers matter,not HgCdTe-specific; exact coefficient-level transcription incomplete,basis for bipolar primitive-source and no-double-counting rules,bipolar Langevin drift-diffusion is established,source-established,source note: source_notes/bonani_ghione_1999.md
bulashenko_et_al_1998,Extension of the impedance field method to the noise analysis of a semiconductor junction: Analytical approach,O. M. Bulashenko; G. Gomila; J. M. Rubi; V. A. Kochelap,1998,"Journal of Applied Physics 83, 2610-2618",10.1063/1.367023,original article,verified_full_text,Eq. 1; drift-diffusion model; impedance-field derivation; Eq. 35; Figs. 2-8,local and terminal noise in an inhomogeneous semiconductor junction,generic n+-n semiconductor junction,inhomogeneous junction structure,1D analytical,,drift and diffusion; analytical impedance field,nonuniform field and charge; displacement current present in full current equation but neglected in low-frequency transfer solution,,junction and sample-contact regions embedded in stationary profile,constant-current terminal voltage noise,local diffusion-current source K=4q^2 nD,local source weighted by impedance field; field and sample-contact cross terms,one-sided thermal-noise convention; exact project conversion required,known stationary profiles; Markovian local source; frequency below dielectric relaxation,analytical terminal transfer; cross terms are necessary to recover local Nyquist 4kBT R(x),unipolar; no GR traps or optical generation; no stochastic finite-S boundary; quasistatic noise solution,independent adjoint/impedance-field benchmark and FDT cross-term requirement,transfer-field architecture and local contribution maps are established,source-established,source note: source_notes/bulashenko_et_al_1998.md
gomila_rubi_1998_interfaces,Fluctuations generated at semiconductor interfaces,G. Gomila; J. M. Rubi,1998,"Physica A 258, 17-31",10.1016/S0378-4371(98)00199-X; PII S0378-4371(98)00199-X,original article,verified_full_text,Eqs. 1-5; Eqs. 19 and 29; Eqs. 30-36; Eqs. 43-55; Eqs. 68-72; conclusion,nonlinear stochastic carrier exchange at ideal and nonideal semiconductor interfaces,generic semiconductor-semiconductor and metal-semiconductor interfaces,zero-thickness interface with optional localized states,interfacial,nondegenerate specializations plus general activity formulation,activated-process transport in internal coordinate,interface-local electrochemical-potential discontinuities,interface states treated as explicit exchange population,fluctuating boundary conditions assembled from q1<->q2 q1<->qs q2<->qs processes,local interface currents and optional interface-state storage,primitive activated-process event fluxes,mean forward-minus-reverse and covariance forward-plus-reverse; composite cross covariance from shared primitive processes,time-domain delta covariance; one/two-sided spectral conversion not explicit,quasistationary internal coordinate; independent elementary activated processes,stochastic interface boundary theory including nonlinear generalized FDT and interface-state cross covariance,unipolar; no complete finite-device terminal spectrum; no optical generation or bipolar pair recombination,authoritative contact-event covariance and interface-state benchmark,stochastic semiconductor-interface exchange and shared-event cross covariance are established,source-established,source note: source_notes/gomila_rubi_1998_interfaces.md
gomila_bulashenko_rubi_1998_schottky,Local noise analysis of a Schottky contact: Combined thermionic-emission-diffusion theory,G. Gomila; O. M. Bulashenko; J. M. Rubi,1998,"Journal of Applied Physics 83, 2619-2630",10.1063/1.367024,original article,verified_full_text,Eqs. 1-12; Eqs. 18-31; Eqs. 33-40; Appendix A; Figs. 1-8,thermionic-emission and diffusion noise in a Schottky diode,generic n-type Schottky contact,metal-semiconductor contact plus long semiconductor bulk,1D,nondegenerate numerical examples,unipolar drift-diffusion with thermionic boundary,Poisson depletion layer; displacement in full current but low-frequency noise reduction,none,thermionic-emission boundary J=q(n0-n0eq)vrA; ideal ohmic far contact,constant-current terminal voltage noise and derived current noise,distributed diffusion-current source K=4q^2nD and thermionic surface source SIc=2q(I+2Ic),primitive surface and bulk sources independent; depletion-series output cross term from shared distributed bulk source,one-sided per-hertz low-frequency convention,long sample L>>LD; frequency below dielectric relaxation; constant mobility examples,closed impedance/noise decomposition; equilibrium contact and local bulk Nyquist recovery; thermal-shot crossover,unipolar; no GR traps; no optical generation; low-frequency plateau; no interface states,mandatory stochastic Schottky and transfer-cross-term benchmark,thermionic contact noise and equilibrium cross-term requirements are established,source-established,source note: source_notes/gomila_bulashenko_rubi_1998_schottky.md
smith_1984,Effects of blocking contacts on generation-recombination noise and responsivity in intrinsic photoconductors,D. L. Smith,1984,"Journal of Applied Physics 56, 1663-1669",10.1063/1.334155,original article,verified_full_text,Eqs. 1a-1c; Eq. 3; Eqs. 4-7; Figs. 1-5; conclusion,intrinsic photoconductor GR noise with variable contact recombination,x approximately 0.20 HgCdTe numerical specialization,finite end-contact photoconductor,1D,low-level quasineutral excess population,ambipolar drift-diffusion and sweepout,quasineutral; Poisson not solved,single bulk lifetime plus deterministic contact loss,Robin minority-carrier flux with left/right velocities S' and S; S->0 blocking; S->infinity absorbing,constant-current terminal voltage noise with spatial-average and Dember boundary terms,thermal and background population fluctuations; no explicit contact exchange source,Smith population covariance propagated by finite-S Green function,one-sided cosine Wiener-Khinchin spectrum in angular frequency with bandwidth in Hz,ambipolar one-population model; deterministic contacts; constant coefficients,"blocking contacts increase responsivity and noise, lower rolloff frequency, and can move detectivity toward BLIP",no Poisson; no bipolar state; no trap state; no stochastic contact covariance; 1D effective contacts,mandatory finite-S HgCdTe benchmark,finite deterministic contact velocity and blocking-contact noise effects are established; stochastic contact closure remains candidate gap,source-established,source note: source_notes/smith_1984.md
smith_1982,Theory of generation-recombination noise in intrinsic photoconductors,D. L. Smith,1982,"Journal of Applied Physics 53, 7051-7060",10.1063/1.330006,original article,verified_full_text,Eqs. 1-10; Green-function Eqs. 20-26; Appendices; Figs. 1-7,"finite intrinsic-photoconductor GR noise with drift, diffusion, absorbing contacts, and spatial covariance",generic intrinsic photoconductor; x approximately 0.21 HgCdTe numerical example,finite end-contact photoconductor,1D,quasineutral population fluctuations,ambipolar drift-diffusion with sweepout,quasineutral; Poisson not solved,one bulk lifetime; thermal and background generation,absorbing high-recombination contacts Delta P(+-L)=0,constant-current terminal voltage noise,thermal equilibrium and background-generated population fluctuations,<DeltaP(x)DeltaP(x')>=[p0+PB(x)] delta(x-x')/(Wd),one-sided cosine Wiener-Khinchin spectrum in angular frequency with bandwidth in Hz,equal excess electron and hole densities; ideal contacts; constant coefficients,"spatial source-lifetime correlation, drift, and diffusion produce field-dependent non-Lorentzian HgCdTe noise; PSD asymptotes -3/2 thermal and -2 background",no Poisson; no explicit traps; no finite contact velocity or contact source; constant-current ensemble,foundational quasineutral HgCdTe benchmark,finite drift-diffusion HgCdTe GR noise and non-Lorentzian spatial effects are established,source-established,source note: source_notes/smith_1982.md
iverson_smith_1985,Theory of deep level trap effects on generation-recombination noise in HgCdTe photoconductors,A. Evan Iverson; D. L. Smith,1985,"Journal of Applied Physics 58, 579-587",10.1063/1.335666,original article,verified_full_text,Eq. 1; Eqs. 8-16; Eqs. 30-35; Appendix; Figs. 1-7,deep-level HgCdTe photoconductor noise,n-type x=0.21 HgCdTe,finite photoconductor with ohmic end contacts,1D,low-level excitation; n-type majority population,quasineutral ambipolar drift-diffusion with trap-modified mobility and diffusivity,quasineutrality imposed; Poisson not solved,band-to-band plus four deep-level capture/emission channels,ohmic absorbing excess-density boundaries,constant-current voltage noise and responsivity,band-to-band thermal generation; background photon generation; bound-free trap exchange,"explicit zero-time free-carrier and trap population covariance, including electron-trap cross correlation",one-sided cosine spectrum; Green transform exp(-i omega t); bandwidth in Hz,uniform low-level n-type material; one two-state trap; quasineutrality,deep traps alter lifetime and sweepout and add a separate trap thermal-noise source,no self-consistent Poisson; ideal contacts; no stochastic contact source; selected trap parameters,mandatory strong-screening dynamic-trap HgCdTe benchmark,"dynamic trap populations, correlated trap/carrier fluctuations, and trap thermal noise in HgCdTe are established",source-established,source note: source_notes/iverson_smith_1985.md
